Gm24722	ENSMUSG00000096415.1
Gm24620	ENSMUSG00000064558.1
Gm24610	ENSMUSG00000065204.1
Gm24596	ENSMUSG00000084453.1
Gm24557	ENSMUSG00000077884.2
Gm24514	ENSMUSG00000092702.2
Gm24498	ENSMUSG00000089070.1
Gm24468	ENSMUSG00000077677.1
Gm24465	ENSMUSG00000096085.1
Gm24447	ENSMUSG00000065911.1
Gm24407	ENSMUSG00000094377.1
Gm24384	ENSMUSG00000084642.1
Gm24305	ENSMUSG00000095590.1
Gm24303	ENSMUSG00000095596.1
Gm24281	ENSMUSG00000077422.1
Gm24265	ENSMUSG00000096243.1
Gm2423	ENSMUSG00000061724.4
Gm24193	ENSMUSG00000080451.1
Gm24146	ENSMUSG00000064694.1
Gm24145	ENSMUSG00000064565.1
Gm24142	ENSMUSG00000096163.1
Gm24106	ENSMUSG00000093239.1
Gm24105	ENSMUSG00000092674.2
Gm24059	ENSMUSG00000088118.1
Gm24049	ENSMUSG00000076364.1
Gm24044	ENSMUSG00000065041.1
Gm24003	ENSMUSG00000089080.1
Gm23973	ENSMUSG00000065254.1
Gm23971	ENSMUSG00000065251.1
Gm23951	ENSMUSG00000077217.1
Gm23946	ENSMUSG00000077611.1
Gm23939	ENSMUSG00000064814.1
Gm23876	ENSMUSG00000077004.1
Gm23850	ENSMUSG00000065764.1
Gm23802	ENSMUSG00000093306.1
Gm23692	ENSMUSG00000075829.1
Gm23686	ENSMUSG00000096391.1
Gm23640	ENSMUSG00000088485.1
Gm23638	ENSMUSG00000092814.1
Gm23617	ENSMUSG00000094435.1
Gm23615	ENSMUSG00000064536.1
Gm23546	ENSMUSG00000088836.1
Gm23493	ENSMUSG00000080485.2
Gm23483	ENSMUSG00000077367.1
Gm23479	ENSMUSG00000089501.1
Gm23470	ENSMUSG00000087754.1
Gm23462	ENSMUSG00000065198.1
Gm23458	ENSMUSG00000065191.1
Gm23435	ENSMUSG00000087808.1
Gm23428	ENSMUSG00000084437.1
Gm23368	ENSMUSG00000093495.1
Gm23365	ENSMUSG00000092760.1
Gm23362	ENSMUSG00000092764.1
Gm23341	ENSMUSG00000089581.1
Gm23322	ENSMUSG00000077652.1
Gm23316	ENSMUSG00000088622.1
Gm23301	ENSMUSG00000064647.1
Gm23287	ENSMUSG00000096280.1
Gm23248	ENSMUSG00000065301.1
Gm23233	ENSMUSG00000087926.1
Gm23221	ENSMUSG00000088743.1
Gm23193	ENSMUSG00000076382.1
Gm23153	ENSMUSG00000093064.2
Gm23152	ENSMUSG00000093063.1
Gm23143	ENSMUSG00000094405.1
Gm23115	ENSMUSG00000089105.1
Gm23113	ENSMUSG00000089102.1
Gm23054	ENSMUSG00000064738.1
Gm23037	ENSMUSG00000065808.1
Gm23010	ENSMUSG00000077339.1
Gm23008	ENSMUSG00000089571.1
Gm22960	ENSMUSG00000084466.1
Gm22942	ENSMUSG00000089188.1
Gm22902	ENSMUSG00000089113.1
Gm22866	ENSMUSG00000065881.1
Gm22748	ENSMUSG00000064427.1
Gm22729	ENSMUSG00000088713.1
Gm22706	ENSMUSG00000088532.1
Gm22701	ENSMUSG00000093112.2
Gm22667	ENSMUSG00000089343.1
Gm22639	ENSMUSG00000094842.1
Gm22558	ENSMUSG00000087951.1
Gm22502	ENSMUSG00000064422.1
Gm22486	ENSMUSG00000080465.1
Gm22481	ENSMUSG00000084511.1
Gm22395	ENSMUSG00000093780.1
Gm22372	ENSMUSG00000077777.1
Gm22365	ENSMUSG00000070263.1
Gm22355	ENSMUSG00000093476.1
Gm22322	ENSMUSG00000087776.1
Gm22317	ENSMUSG00000096206.1
Gm22305	ENSMUSG00000064624.1
Gm22281	ENSMUSG00000087823.1
Gm22275	ENSMUSG00000084419.1
Gm22232	ENSMUSG00000077846.1
Gm22146	ENSMUSG00000088022.1
Gm22108	ENSMUSG00000095379.1
Gm22106	ENSMUSG00000084493.1
Gm22068	ENSMUSG00000096205.1
Gm22061	ENSMUSG00000064491.1
Gm22058	ENSMUSG00000065327.1
Gm22018	ENSMUSG00000077545.1
